ID,name,URL,,,,,Comment
pp0193,Georg Ernst Pfingsten,https://explore.gnd.network/gnd/128522798,,,,,
pp0194,Peter I. (Russia),https://explore.gnd.network/gnd/118592955,,,,,
pp0195,Jakub Ludwik Sobieski,https://explore.gnd.network/gnd/120542382,,,,,
pp0196,Konstanty Wladyslaw Sobieski,https://explore.gnd.network/gnd/1017469695,,,,,
pp0197,Clemens XI,https://explore.gnd.network/gnd/119139162,,,,,
pp0198,Mikołaj Święciki,https://viaf.org/viaf/311290353/,,,,,
pp0199,Johann Reinhold von Patkul,https://explore.gnd.network/gnd/116058501,,,,,
pp0200,Georg Heinrich von Goertz,https://explore.gnd.network/gnd/118695886,,,,,
pp0201,Anne (Großbritannien),https://explore.gnd.network/gnd/118649450,,,,,
pp0202,Ditlev von Wibe,https://www.wikidata.org/wiki/Q1772360,,,,,
pp0203,Jobst von Scholten,https://explore.gnd.network/gnd/1021137464,,,,,
pp0204,Friedrich Wilhelm I (Preußen),https://explore.gnd.network/gnd/118535978,,,,,
pp0205,Georg I. (Großbritannien),https://explore.gnd.network/gnd/1243999756,,,,,
pp0206,Heinrich Rüdiger von Ilgen,https://explore.gnd.network/gnd/117128988,,,,,
pp0207,Magnus Stenbock,https://explore.gnd.network/gnd/117270598,,,,,
pp0208,Johann Wilhelm Heusch,,,,,,
pp0209,Boris Iwanowitsch Kurakin,https://explore.gnd.network/gnd/1024382524,,,,,
pp0210,Gabriel Ivan Golowkin,https://www.wikidata.org/wiki/Q1377043,,,,,
pp0211,Friedrich Ernst von Cnyphausen,https://explore.gnd.network/gnd/116617640,,,,,
pp0212,Jacques David Martin de Campredon,https://explore.gnd.network/gnd/105520928X,,,,,
pp0213,"Johann August, Graf von Meyerfeldt",https://explore.gnd.network/gnd/141907185,,,,,
pp0214,Johan Lillienstedt,https://explore.gnd.network/gnd/123587417,,,,,
pp0215,John Granville Carteret,https://explore.gnd.network/gnd/119558718,,,,,
pp0216,Friedrich I. (Schweden),https://explore.gnd.network/gnd/1204151776,,,,,
pp0217,Friedrich Gotthard von Bülow,https://explore.gnd.network/gnd/141161728,,,,,
pp0218,Wilhelm August von Stubenberg,https://explore.gnd.network/gnd/141160225,,,,,
pp0219,Heinrich von Podewils,https://explore.gnd.network/gnd/1055704973,,,,,
pp0220,Georg II. (Großbritannien),https://explore.gnd.network/gnd/118538543,,,,,
pp0221,Elisabeth Petrowna,https://explore.gnd.network/gnd/1158978138,,,,,
pp0222,Johann Christian Graf von Hennicke,https://explore.gnd.network/gnd/102576335,,,,,
pp0223,Johann Graf von Loss,https://explore.gnd.network/gnd/132243946,,,,,
pp0224,"Maximilian III Joseph, Elector of Bavaria",https://explore.gnd.network/gnd/118579436,,,,,
pp0225,Onslow Burrish,https://viaf.org/viaf/315533384/,,,,,
pp0226,Tjaard van Aylva,,,,,,
pp0227,Johann Georg von Königsfeld,https://explore.gnd.network/gnd/118564420,,,,,
pp0228,Maximilian Franz Rheinstein und Tattenbach,,,,,,
pp0229,Joseph Franz von Seinsheim,https://explore.gnd.network/gnd/119472120,,,,,
pp0230,Franz Andreas Braidlohn,,,,,,
pp0231,Antoine Louis Rouillé,https://explore.gnd.network/gnd/11666407X,,,,,
pp0232,Maximilian Emanuel van Eyck,,,,,,
pp0233,"Clemens August I., Köln, Erzbischof",https://explore.gnd.network/gnd/118634224,,,,,
pp0234,"Karl Theodor, Pfalz, Kurfürst",https://explore.gnd.network/gnd/118560190,,,,,
pp0235,"Wilhelm August, Herzog von Cumberland",https://explore.gnd.network/gnd/120911167,,,,,
pp0236,Louis François Armand de Vignerot Plessis,https://explore.gnd.network/gnd/118788744,,,,,
pp0237,Friedrich V. (Dänemark und Norwegen),https://explore.gnd.network/gnd/11954931X,,,,,
pp0238,Rochus Friedrich von Lynar,https://explore.gnd.network/gnd/117667919,,,,,
pp0239,Friedrich von Spörken,https://explore.gnd.network/gnd/117485225,,,,,
pp0240,François de Riotor,,,,,,
pp0241,"Karl August II., Pfalz-Zweibrücken, Herzog",https://explore.gnd.network/gnd/118968173,,,,,
pp0242,Christiane Eberhardine von Ansbach-Bayreuth,https://explore.gnd.network/gnd/119337630,,,,,
pp0243,Friedrich August Graf von Zinzendorf,https://explore.gnd.network/gnd/117005657,,,,,
pp0244,Anton Clemens von Toerring-Seefeld,https://explore.gnd.network/gnd/104069465,,,,,
